train/test,log type,severity,class,text,Reference,label_4class,label_node,label_job,label_total,masked_text
train,syslog,3,gpu,"kernel: NVRM: Xid (PCI:[device id]): 74, pid=[PIDNUM], NVLink: fatal error detected [path] 0([NUM]x0, [ADDR], [ADDR], 0x[kNUM], [ADDR], [ADDR], [ADDR])",,0,1,1,1,ID 74 NUM nvlink PATH 0 NUM x0 ADDR ADDR NUM ADDR ADDR ADDR
train,DELL LC ,3,nic,The arg1 network link is down.,,0,1,1,1,ARG
test,DELL LC ,2,power,The Power Supply Units (PSUs) in the system do not match.,,0,1,1,1,units psus do match
train,DELL LC ,2,memory,The Non-Volatile Dual In-Line Memory Module (NVDIMM) in the memory slot arg1 has encountered a thermal shutdown event during the previous boot.,,0,1,1,1,non volatile line ARG encountered shutdown event during previous boot
test,syslog,3,file system,"mmsysmon: [E] Event raised: GPFS CCR client initialization Item=CCR_CLIENT_INIT,ErrMsg='Security initializati[path]',Failed='Security'",,0,1,1,1,event gpfs ccr client item ccr client init errmsg security initializati PATH
train,DELL LC ,2,os,"OS - Suspect corrupt MBR, verify MBR with Anti-Virus Application.",,0,1,1,1,os suspect corrupt mbr verify mbr anti virus application
train,DELL LC ,2,"bus, io module, pci",Quick Path Interconnect (QPI) links are operating in slow speed mode.,,0,1,1,1,quick interconnect qpi links operating slow speed mode
train,syslog,3,file system,mmfs: [E] Close connection [ip] [agpu NODE ID] <c0n[interface ID]>:[1] (No route to host). Attempting reconnect.,,0,1,1,1,ADDR agpu NETIF route host attempting
train,HPE IML,2,power,Power fault detected,,0,1,1,1,__EMPTY_MASKED__
train,DELL LC ,3,power,Chassis Management Controller is unable to turn on server arg1 due to insufficient power for the arg2 .,,0,1,1,1,turn ARG due for ARG
train,HPE IML,3,storage,Slot %1 Smart Array: Drive media errors couldnot be recovered by RAID protection,,0,1,1,1,media errors couldnot recovered by raid protection
test,DELL LC ,3,board,"The arg1 sensor has failed, and the last recorded value by the sensor was arg2 A.",,0,1,1,1,ARG and last recorded value by ARG
train,DELL LC ,2,"voltage, current",Processor module arg1 voltage is less than the lower critical threshold.,,0,1,1,1,ARG
train,DELL LC ,2,"voltage, current",Chassis power level current is outside of range.,,0,1,1,1,level
train,DELL LC ,3,"bios, firmware, driver",Lifecycle Controller (LC) firmware was not accessible and is therefore in Recovery mode.,,0,1,1,1,lifecycle lc accessible and therefore recovery mode
test,DELL LC ,3,memory,Memory device at location arg1 is not installed correctly.,,0,1,1,1,ARG installed correctly
train,DELL LC ,2,battery,Battery - Charge cycles exceeded maximum limit. :OR: Charger - Charge cycles exceeded maximum limit.,,0,1,1,1,cycles exceeded maximum charger cycles exceeded maximum
train,DELL LC ,3,"bus, io module, pci",A failure is detected on IO module arg1 .,,0,1,1,1,ARG
train,syslog,3,"bus, io module, pci",pmlogger_daily: Failed to connect to bus: Resource temporarily unavailable,,0,1,1,1,pmlogger daily resource temporarily unavailable
train,syslog,3,"bios, firmware, driver",kernel: acpi PNP[kNUM]:00: _OSC: platform does not support [SHPCHotplug AER DPC],https://bbs.archlinux.org/viewtopic.php?id=257499,0,1,1,1,acpi pnp NUM osc platform does support shpchotplug aer dpc
test,syslog,3,file system,kernel: LNetError: LOG ID:(lib-move.c:[kNUM]:lnet_handle_find_routed_path()) no route to [ip]@o2ib from <?>,,0,1,1,1,lneterror lib move c NUM lnet handle find routed route ADDR o2ib from
train,syslog,3,file system,kernel: LustreError: LOG ID:(llite_lib.c:[kNUM]:ll_prep_inode()) new_inode -fatal: rc -4,,0,1,1,1,llite lib c NUM ll prep inode new inode rc 4
train,DELL LC ,3,memory,One or more memory errors have occurred on memory slot: arg1 .,,0,1,1,1,one more errors have ARG
train,HPE IML,2,power,Power supply %1 has exceeded the current limit.Power supply output will be disabled.,,0,1,1,1,exceeded output will disabled
train,syslog,3,nic,mmsysmon: [E] Event raised: NIC bond[eth ID] is down.,,0,1,1,1,event bond NETIF
train,DELL LC ,2,board,A CMOS checksum error has occurred. CMOS is reinitialized.,,0,1,1,1,cmos checksum cmos reinitialized
train,syslog,3,os,kernel: pci [pci id] BAR [NUM]: no space for [io size 0x[kNUM]],,0,1,1,1,ID NUM space for NUM
train,syslog,3,file system,mmfs: [E] Lost membership in cluster sr06.[sth NODE ID]. Unmounting file systems.,,0,1,1,1,lost membership cluster sr06 sth unmounting systems
train,HPE IML,3,storage,Boot from flash error (%1),,0,1,1,1,boot from flash
train,DELL LC ,2,"bus, io module, pci",Intel QPI interconnect arg1 has a non-recoverable issue.,,0,1,1,1,intel qpi interconnect ARG non recoverable issue
train,HPE IML,3,"bios, firmware, driver",Invalid firmware image detected on NVDIMM.,,0,1,1,1,invalid image
train,syslog,3,service,gdrcopy: Module gdrdrv does not exist,,0,1,1,1,gdrdrv does exist
train,syslog,3,service,pmlogger: Failed to get unit file state for pmlogger.service: connection out,,0,1,1,1,pmlogger get state for pmlogger out
test,DELL LC ,2,fan,The Chassis was turned off because more than two internal fans stopped functioning.,,0,1,1,1,turned off more two internal fans stopped functioning
train,DELL LC ,2,"voltage, current",The disk drive bay arg1 voltage is outside of range.,,0,1,1,1,disk bay ARG
train,syslog,3,file system,"mmfs: [E] sdrServ: Communication [path] 73 ([ip]) @handleRpcReq[path], [err 144] connection down",,0,1,1,1,sdrserv communication PATH 73 ADDR handlerpcreq PATH err 144
train,syslog,3,nic,mmsysmon: [E] Event raised: Physical link of the NIC bond[eth ID] is down,,0,1,1,1,event physical bond NETIF
test,HPE IML,3,memory,NVDIMM controller error,,0,1,1,1,__EMPTY_MASKED__
train,syslog,3,file system,systemd-fsck: [ADDR]: Dirty bit is set. Fs was not properly unmounted and some data may be corrupt.,,0,1,1,1,fsck ADDR dirty bit set fs properly unmounted and some data may corrupt
test,syslog,3,file system,"mmfs: Error=MMFS_PHOENIX, ID=[ID], Tag=[ID]: reason 2 Failure reason mmchdisk for any disk failures and re-mount.",,0,1,1,1,phoenix ID tag ID reason reason mmchdisk for any disk failures and re
train,DELL LC ,3,"bmc, management module",Management hardware component is not detected in the Management Module in slot arg1 .,,0,1,1,1,ARG
train,syslog,3,service,systemd: nvidia-persistenced.service: Failed with result 'timeout'.,,0,1,1,1,timeout
train,DELL LC ,2,power,Unable to turn on I/O Module arg1 due to insufficient chassis power.,,0,1,1,1,turn i o ARG due
train,syslog,3,memory,kernel: Memory failure: 0x[kNUM]: non anonymous thp,,0,1,1,1,NUM non anonymous thp
train,syslog,3,file system,"kernel: LustreError: LOG ID:(mgc_request.c:[kNUM]:mgc_process_log()) MGC[ip]@o2ib[eth ID]: recover log lscr[kNUM]liir failed, not fatal: rc = -5",,0,1,1,1,mgc request c NUM mgc mgc ADDR o2ib NETIF recover lscr NUM liir rc 5
test,syslog,3,os,gdm: GLib: g_hash_table_foreach: assertion 'version == hash_table->version' failed,,0,1,1,1,gdm glib g hash table foreach assertion version hash table version
train,syslog,3,"bios, firmware, driver",kernel: NVRM: failed to copy out ioctl data,,0,1,1,1,copy out ioctl data
train,DELL LC ,2,storage,Disk drive bay temperature is outside of range.,,0,1,1,1,disk bay
test,DELL LC ,3,"voltage, current",The mezzanine card arg1 arg2 voltage is outside of range.,,0,1,1,1,mezzanine ARG ARG
train,DELL LC ,3,"bus, io module, pci",The LOM riser FRU for slot arg1 FRU ID arg2 is not functioning.,,0,1,1,1,lom riser fru for ARG fru ARG functioning
train,syslog,3,"bios, firmware, driver",kernel: nvidia-modeset: ERROR: Failed to find GPU ID,,0,1,1,1,modeset find
test,DELL LC ,2,storage,No bootable media found.,,0,1,1,1,bootable media found
train,DELL LC ,3,"bus, io module, pci",The IO Module in slot arg1 is not supported.,,0,1,1,1,ARG supported
train,DELL LC ,3,"bmc, management module",iDRAC not responding.,,0,1,1,1,__EMPTY_MASKED__
train,DELL LC ,3,storage,arg1 SAS SMP communications error arg2,,0,1,1,1,ARG smp communications ARG
train,HPE IML,2,cpu,Server Critical Fault (Service Information: Runtime Fault. Processor(AMD). Processor 2 (02h)),,0,1,1,1,information runtime amd 02h
train,DELL LC ,2,"voltage, current",The system board arg1 voltage is less than the lower critical threshold.,,0,1,1,1,ARG
train,syslog,3,gpu,"NVRM: Xid (PCI:0000:84:00): 48, pid=7928, An uncorrectable double bit error (DBE) has been detected on GPU in the L2 cache at cache 7, slice 2.",,0,1,1,1,48 7928 an uncorrectable double bit dbe been l2 7 slice
test,DELL LC ,2,os,The OS watchdog timer expired.,,0,1,1,1,os expired
train,DELL LC ,3,"bus, io module, pci",The Mezz card 4 FRU for the server arg1 is not functioning.,,0,1,1,1,mezz 4 fru for ARG functioning
train,DELL LC ,3,"bus, io module, pci",Hardware incompatibility detected with mezzanine card arg1 .,,0,1,1,1,incompatibility mezzanine ARG
train,DELL LC ,2,board,The arg1 cable or interconnect is not connected or is improperly connected.,,0,1,1,1,ARG interconnect connected improperly connected
train,DELL LC ,3,"bmc, management module",Unable to power on server arg1 because of iDRAC communication issue.,,0,1,1,1,ARG communication issue
train,DELL LC ,3,"bus, io module, pci",The IO Module in slot arg1 did not boot within the expected time.,,0,1,1,1,ARG did boot within expected time
test,DELL LC ,3,"bmc, management module",Server failed to power on because no response from Management Module for power request.,,0,1,1,1,response from for request
train,syslog,3,file system,"mmfs: [X] File System gpfs.sr06 unmounted by the system with return code 16, reason 1500108505, at line 1132 in [path]",,0,1,1,1,x gpfs sr06 unmounted by return 16 reason 1500108505 line 1132 PATH
train,syslog,3,gpu,"NVRM: Xid (PCI:0000:84:00): 43, pid=9581, Ch 00000008",,0,1,1,1,43 9581 00000008
train,HPE IML,2,cpu,"UPI Initialization Error: A fatal UPI initializationerror has been detected. %1 (Major Code: %2,Minor Code: %3)",,0,1,1,1,initializationerror been minor
train,syslog,3,file system,mmfs: [E] VERBS RDMA closed connection [ip] ([vngpuc NODE ID]) [path] port [NUM] fabnum [NUM] index [IDX]5 [cookie ID] error 233,,0,1,1,1,verbs rdma closed ADDR vngpuc PATH NUM fabnum NUM index NUM 5 ID 233
train,HPE IML,2,fan,"External chassis fan failure (Chassis %1, Fan%2, Location %3)",,0,1,1,1,external
train,syslog,3,os,kernel: pci [pci id] BAR [NUM]: no space for [mem size 0x[kNUM] pref],,0,1,1,1,ID NUM space for NUM pref
test,DELL LC ,2,"voltage, current",CPU arg1 arg2 voltage is less than the lower critical threshold.,,0,1,1,1,ARG ARG
train,syslog,3,storage,kernel: scsi 9:0:0:0: rejecting I/O to [kNUM] device,,0,1,1,1,scsi 9 0 0 0 rejecting i o NUM
test,syslog,3,"bios, firmware, driver",kernel: nvidia: loading out-of-tree module taints kernel.,https://forums.developer.nvidia.com/t/failing-to-load-nvidia-driver/221166,0,1,1,1,loading out tree taints
test,syslog,3,gpu,"NVRM: Xid (PCI:0000:84:00): 48, pid=1323, An uncorrectable double bit error (DBE) has been detected on GPU in the framebuffer at partition 4, subpartition 1.",,0,1,1,1,48 1323 an uncorrectable double bit dbe been framebuffer partition 4 subpartition
train,DELL LC ,3,storage,"The NVMe drive is not detected on the PCI tag arg1 , NameSpace ID arg2 .",,0,1,1,1,nvme tag ARG namespace ARG
test,DELL LC ,3,"bus, io module, pci",The Mezz card 1 FRU for the server arg1 is not functioning.,,0,1,1,1,mezz fru for ARG functioning
train,HPE IML,2,fan,"%1 Fan failure (Fan %2, Location %3, %4)",,0,1,1,1,4
test,syslog,3,file system,"mmfs: Error=MMFS_SYSTEM_UNMOUNT, ID=[ID], Tag=[ID]: Unrecoverable file system operation Status code 218. Volume gpfs.sr06",,0,1,1,1,unmount ID tag ID unrecoverable operation 218 volume gpfs sr06
train,DELL LC ,3,"bus, io module, pci",The Chassis Management Controller (CMC) is unable to turn on the storage sled controller installed on server in slot arg1 because the server does not have a Mezzanine card.,,0,1,1,1,turn sled installed ARG does have mezzanine
train,syslog,3,gpu,kernel: NVRM: No NVIDIA GPU found.,,0,1,1,1,found
train,syslog,3,file system,unbound-anchor: [1638630027] libunbound[421235:0] error: could not fflush([path]): no space left on device,,0,1,1,1,unbound anchor 1638630027 libunbound 421235 0 could fflush PATH space left
train,syslog,3,service,"systemd: LSF.mount: Mount process exited, code=killed status=15",,0,1,1,1,lsf killed 15
test,HPE IML,2,power,"%1 power request denied: %2 (EnclosureAddress %3, Slot %4)",,0,1,1,1,request denied enclosureaddress 4
train,DELL LC ,2,"bus, io module, pci",I/O Module arg1 temperature exceeded operating range.,,0,1,1,1,i o ARG exceeded operating
train,DELL LC ,2,battery,Battery - The battery is not installed.,,0,1,1,1,installed
train,syslog,2,os,gvfsd: A connection to the bus can't be made,,0,1,1,1,gvfsd can t made
train,syslog,2,battery,Server_Administrator: [NUM] - Storage Service Controller event log: Battery is discharging: Controller 0 (PERC H745 Adapter),,0,1,1,1,administrator NUM event discharging 0 perc h745 adapter
train,DELL LC ,3,"bios, firmware, driver",A BIOS corruption is detected. A BIOS Recovery process is automatically started. This process would take a few minutes.,,0,1,1,1,corruption recovery automatically started this would take few minutes
train,syslog,3,file system,"mmfs: Error=MMFS_PHOENIX, ID=[ID], Tag=[ID]:",,0,1,1,1,phoenix ID tag ID
train,DELL LC ,3,memory,Correctable memory error rate exceeded for arg1 .,,0,1,1,1,correctable rate exceeded for ARG
train,DELL LC ,3,board,Programmable interval timer error.,,0,1,1,1,programmable interval
test,DELL LC ,3,storage,A bad disk block on arg1 cannot be reassigned during a write operation.,,0,1,1,1,bad disk ARG reassigned during write operation
train,DELL LC ,2,"voltage, current",An over voltage fault detected on power supply arg1 .,,0,1,1,1,an ARG
train,syslog,2,os,abrt-dump-journal-oops: abrt-dump-journal-oops: Found oopses: 3,,0,1,1,1,journal journal found oopses
train,HPE IML,3,"bus, io module, pci","Uncorrectable PCI Express Error Detected. %1%2 (Segment 0x%2, Bus 0x%3, Device 0x%4,Function 0x%5)",,0,1,1,1,uncorrectable express segment 4 function 5
train,HPE IML,3,storage,%1 Smart Array - Controller failure (Status: %2),,0,1,1,1,__EMPTY_MASKED__
train,DELL LC ,3,"bmc, management module",The Chassis Management Controller/Management Module (CMC/MM) cannot communicate with the arg1 control panel because of internal issues.,,0,1,1,1,mm ARG control panel internal issues
train,syslog,3,service,"abrtd: Too many clients, refusing connections to '[path]'","https://bugzilla.redhat.com/show_bug.cgi?id=1297316, https://forums.fedoraforum.org/showthread.php?315787-All-of-a-sudden-system-sluggish-tonns-of-coredumps",0,1,1,1,abrtd too many clients refusing connections PATH
train,HPE IML,3,"setting, config","Memory configuration error: No memory isavailable. If DIMMs are installed, verify that theDIMMs are installed properly. System Halted!",,0,1,1,1,isavailable if dimms installed verify thedimms installed properly halted
train,syslog,3,storage,mmfs: [E] Disk failure. Volume gpfs.sr06. rc = 5. Physical volume DATANSD31.,,0,1,1,1,disk volume gpfs sr06 rc 5 physical volume datansd31
test,DELL LC ,3,"voltage, current",The arg1 voltage redundancy is lost.,,0,1,1,1,ARG redundancy lost
test,syslog,3,file system,kernel: LustreError: LOG ID:(ldlm_lib.c:540:client_obd_setup()) can't add initial connection,,0,1,1,1,ldlm lib c 540 client obd setup can t add initial
train,DELL LC ,3,storage,Drive arg1 is in the critical array.,,0,1,1,1,ARG
train,DELL LC ,3,"bios, firmware, driver",A firmware or software incompatibility is detected between arg1 arg2 and arg3 arg4 .,,0,1,1,1,incompatibility between ARG ARG and ARG ARG
train,DELL LC ,3,battery,The storage battery for disk drive bay arg1 is absent.,,0,1,1,1,for disk bay ARG
test,DELL LC ,3,nic,Unable to detect network connection of arg1 in slot arg2 .,,0,1,1,1,detect ARG ARG
train,syslog,3,file system,dbus-daemon: Cannot setup inotify for '[path]'; error 'No space left on device',,0,1,1,1,dbus daemon setup inotify for PATH space left
test,DELL LC ,3,"bus, io module, pci",A PCI system error was detected on a component at slot arg1 .,,0,1,1,1,ARG
train,syslog,3,service,"kernel: lockd: server [ip] not responding, still trying",,0,1,1,1,lockd ADDR still trying
train,syslog,3,file system,kernel: LustreError: LOG ID:(llite_lib.c:[kNUM]:ll_md_setattr()) md_setattr fails: rc = -5,,0,1,1,1,llite lib c NUM ll md setattr md setattr fails rc 5
train,DELL LC ,3,"bus, io module, pci",A bus uncorrectable error was detected on a component at bus arg1 device arg2 function arg3 .,,0,1,1,1,uncorrectable ARG ARG function ARG
train,DELL LC ,3,"bmc, management module",The Intel Management Engine is unresponsive and the server thermal failsafe state is activated.,,0,1,1,1,intel unresponsive and failsafe state activated
train,syslog,3,os,kdumpctl: libkmod: kmod_module_get_holders: could not open '[path]': No such file or directory,,0,1,1,1,kdumpctl libkmod kmod get holders could PATH
train,DELL LC ,3,memory,Memory device at location arg1 failed to transition to in test.,,0,1,1,1,ARG transition test
train,syslog,3,switch,"kernel: nvidia-nvswitch2: SXid (PCI:[device id]): 20034, Data {0x[kNUM], 0x[kNUM], 0x[kNUM], 0x[kNUM], 0x[kNUM], 0x[kNUM], 0x[kNUM], 0x[kNUM]}",,0,1,1,1,nvswitch2 ID 20034 data NUM NUM NUM NUM NUM NUM NUM NUM
train,syslog,3,file system,pmlogger_check: mktemp: failed to create directory via template ??path]?? no space left on device,,0,1,1,1,pmlogger check mktemp create via template space left
train,DELL LC ,3,nic,Remote host is not reachable or connection is interrupted.,,0,1,1,1,remote host reachable interrupted
train,HPE IML,3,memory,"DIMM Initialization Error - Processor %1 DIMM%2. The identified processor and memory failedto initialize properly. %3 (Major Code:%4, MinorCode:%5).",,0,1,1,1,identified and failedto initialize properly 4 minorcode 5
train,syslog,3,file system,mmfs: [E] Close connection [ip] [stnfs NODE ID] <c0n[interface ID]> (connection by peer). Attempting reconnect.,,0,1,1,1,ADDR stnfs NETIF by peer attempting
train,DELL LC ,2,"bmc, management module",The CMC arg1 has reset because the thermal threshold was exceeded.,,0,1,1,1,ARG exceeded
train,syslog,3,"bios, firmware, driver","openib[eth ID]: Module ib_ipoib belong to kernel-modules which is not a part of MLNX_OFED, skipping...#033[60G[#033[1;31mFAILED#033[0;39m]",,0,1,1,1,openib NETIF ib ipoib belong modules which part mlnx ofed 60g 31mfailed 0
train,DELL LC ,3,"voltage, current",The memory module arg1 voltage is outside of range.,,0,1,1,1,ARG
train,HPE IML,3,storage,Slot %1 Error: Rx/Tx is disabled on this device,,0,1,1,1,rx tx disabled this
train,HPE IML,3,storage,Drive array cache module critical error,,0,1,1,1,__EMPTY_MASKED__
train,HPE IML,3,memory,Correctable Memory Error Threshold exceeded,,0,1,1,1,correctable exceeded
train,syslog,3,"bmc, management module","kernel: ipmi_si IPI[kNUM]:00: The BMC does not support clearing the recv irq bit, compensating, but the BMC needs to be fixed.","https://openipmi-developer.narkive.com/K6HoYoVk/bug-ipmi-null-device-printing-in-check-set-rcv-irq, https://lists.ubuntu.com/archives/kernel-team/2015-August/061623.html",0,1,1,1,ipmi si ipi NUM bmc does support clearing recv irq bit compensating but bmc needs fixed
train,syslog,3,gpu,"kernel: NVRM: Xid (PCI:[device id]): 13, pid=[PIDNUM], Graphics Exception: ChID [kNUM], Class [kNUM], Offset [kNUM], Data [kNUM]",,0,1,1,1,ID 13 NUM chid NUM class NUM offset NUM data NUM
test,DELL LC ,2,power,Power supply arg1 is incorrectly configured.,,0,1,1,1,ARG incorrectly configured
train,DELL LC ,3,"bios, firmware, driver","Memory is detected, but is not configurable.",,0,1,1,1,but configurable
test,DELL LC ,3,board,Timer refresh failed.,,0,1,1,1,refresh
test,syslog,3,gpu,"kernel: NVRM: Xid (PCI:[device id]): 94, pid=[PIDNUM], Contained: CE User Channel ([NUM]xc). RST: No, D-RST: No",,0,1,1,1,ID 94 NUM contained ce user channel NUM xc rst d rst
train,DELL LC ,2,"voltage, current",Could not power down 240VA on power unit arg1 .,,0,1,1,1,could 240va ARG
test,DELL LC ,2,"voltage, current",The disk drive bay arg1 voltage is greater than the upper critical threshold.,,0,1,1,1,disk bay ARG greater upper
train,HPE IML,3,storage,%1 Smart Array: Drive is failed: Port %2 Box %3Bay %4,,0,1,1,1,box 3bay 4
train,syslog,3,file system,"mmfs: Error=MMFS_SYSTEM_UNMOUNT, ID=[ID], Tag=[ID]: Unrecoverable file system operation Status code 16. Volume gpfs.sr06",,0,1,1,1,unmount ID tag ID unrecoverable operation 16 volume gpfs sr06
train,syslog,3,file system,kernel: LustreError: LOG ID:(client.c:[kNUM]:ptlrpc_replay_interpret()) @@@ request replay timed out.#012 req@[ID] x[ID][path]([NUM]) o4->lsr05-OST[kNUM]osc-[ID]@[ip]@o2ib:6[path] lens 488[path] e 13 to 1 dl [kNUM] ref 2 fl Interpret:EeX[path] rc [kNUM][path],,0,1,1,1,client c NUM ptlrpc replay interpret request replay timed out 012 req ID x ID PATH o4 lsr05 ost NUM osc ID ADDR o2ib 6 PATH lens 488 PATH 13 dl NUM ref fl interpret eex PATH rc NUM PATH
test,syslog,3,file system,kernel: LustreError: LOG ID:(osc_request.c:[kNUM]:osc_brw_redo_request()) @@@ redo for recoverable error -30 req@[ID] x[ID][path]([NUM]) o4->lsr05-OST[kNUM]osc-[ID]@[ip]@o2ib:6[path] lens 520[path] e 0 to 0 dl [kNUM] ref 2 fl Interpret:RM[path] rc -30[path],,0,1,1,1,osc request c NUM osc brw redo request redo for recoverable 30 req ID x ID PATH o4 lsr05 ost NUM osc ID ADDR o2ib 6 PATH lens 520 PATH 0 0 dl NUM ref fl interpret rm PATH rc 30 PATH
train,syslog,3,file system,kernel: FAT-fs (sdb): invalid media value ([NUM]xb9),,0,1,1,1,fat fs sdb invalid media value NUM xb9
test,DELL LC ,3,storage,Servers are turned off to allocate power to the newly inserted hard disk drives.,,0,1,1,1,servers turned off allocate newly inserted hard disk drives
train,syslog,3,file system,kernel: LustreError: LOG ID:(mgc_request.c:599:do_requeue()) failed processing log: -5,,0,1,1,1,mgc request c 599 do requeue processing 5
train,syslog,3,file system,mmfs: [E] Close connection [ip] [vngpuc NODE ID] <c0n[interface ID]> (connection by peer). Attempting reconnect.,,0,1,1,1,ADDR vngpuc NETIF by peer attempting
train,DELL LC ,3,power,Chassis Management Controller (CMC) is unable to turn on the component arg1 - arg2 because of insufficient power.,,0,1,1,1,turn ARG ARG
train,DELL LC ,3,storage,The arg1 NVRAM has corrupt data.,,0,1,1,1,ARG nvram corrupt data
train,syslog,3,file system,"mmsysmon: [E] Event raised: A majority of the quorum nodes are not reachable over the management network Item=PC_QUORUM_NODES,ErrMsg='Ping CCR quorum nodes failed',Failed='[ip];[ip];[ip]'",,0,1,1,1,event majority quorum nodes reachable item pc quorum nodes errmsg ping ccr quorum nodes ADDR ADDR ADDR
train,DELL LC ,2,os,The OS watchdog timer powered cycle the system.,,0,1,1,1,os powered cycle
train,syslog,3,"bmc, management module",kernel: ipmi_si IPI[kNUM]:00: There appears to be no BMC at this location,,0,1,1,1,ipmi si ipi NUM there appears bmc this
test,syslog,3,"bios, firmware, driver","kernel: NVRM: API mismatch: the client has the version [version], but#012NVRM: this kernel module has the version [version] Please#012NVRM: make sure that this kernel module and all NVIDIA driver#012NVRM: components have the same version.",,0,1,1,1,api mismatch client version VERSION but 012nvrm this version VERSION please 012nvrm make sure this and all driver 012nvrm components have same version
test,syslog,3,file system,kernel: XFS (md[NUM]:) log I/O error -5,,0,1,1,1,xfs md NUM i o 5
train,syslog,2,os,kernel: BUG: Bad page cache in process ptlrpcd_04_03 pfn:[kNUM],,0,1,1,1,bad ptlrpcd 04 03 pfn NUM
test,syslog,3,"bus, io module, pci","smad: [ALERT ]: CRITICAL: Improperly seated or missing device (Standby fault, Riser 3)",,0,1,1,1,smad alert improperly seated missing standby riser
train,DELL LC ,3,"bus, io module, pci",A PCIe error has occurred.,,0,1,1,1,__EMPTY_MASKED__
train,syslog,3,"bios, firmware, driver",kernel: mlx5_core [device id]: poll_health:838:([PID]): Fatal error 1 detected,https://lore.kernel.org/netdev/26dedb23-819f-8121-6e04-72677110f3cc@linux.ibm.com/T/,0,1,1,1,mlx5 ID poll health 838
train,DELL LC ,3,"bus, io module, pci",A fatal error was detected on a component at bus arg1 device arg2 function arg3 .,,0,1,1,1,ARG ARG function ARG
train,syslog,2,"voltage, current","Server_Administrator: [NUM] - Instrumentation Severity: Warning, Category: System Health, MessageID: VLT401, Message: Unable to read PS1 Voltage 1 sensor value.",,0,1,1,1,administrator NUM instrumentation severity warning category health messageid vlt401 message read ps1 value
train,syslog,3,file system,mmfs: [E] Close connection [ip] [sth NODE ID] <c0n[interface ID]> (connection by peer). Attempting reconnect.,,0,1,1,1,ADDR sth NETIF by peer attempting
train,syslog,3,gpu,"NVRM: Xid (PCI:0000:01:00): 74, pid=1674201, NVLink: Failed to train link 0 to remote PCI:0000:41:00",,0,1,1,1,01 74 1674201 nvlink train 0 remote 41
train,DELL LC ,3,"bus, io module, pci",The mezzanine card arg1 is absent.,,0,1,1,1,mezzanine ARG
train,syslog,3,file system,"mmfs: [E] sdrServ: Communication [path] 134 (<none>)[path], [err 79] Can not access a needed shared library",,0,1,1,1,sdrserv communication PATH 134 none PATH err 79 can access needed library
train,syslog,3,service,systemd: nv_peer_mem[SEC]service: Failed with result 'exit-code'.,,0,1,1,1,peer NUM
train,syslog,3,file system,kernel: LustreError: LOG ID:(osc_request.c:[kNUM]:osc_brw_redo_request()) @@@ redo for recoverable error -5 req@[ID] x[ID][path]([NUM]) o4->lsr05-OST[kNUM]osc-[ID]@[ip]@o2ib:6[path] lens [kNUM][path] e 0 to 0 dl [kNUM] ref 2 fl Interpret:RM[path] rc -5[path],,0,1,1,1,osc request c NUM osc brw redo request redo for recoverable 5 req ID x ID PATH o4 lsr05 ost NUM osc ID ADDR o2ib 6 PATH lens NUM PATH 0 0 dl NUM ref fl interpret rm PATH rc 5 PATH
train,syslog,3,file system,mmfs: [E] Close connection [ip] [sth NODE ID] <c0n[interface ID]> (Broken pipe). Attempting reconnect.,,0,1,1,1,ADDR sth NETIF broken attempting
test,syslog,3,file system,kernel: LustreError: LOG ID:(obd_mount.c:202:lustre_start_simple()) MGC[ip]@o2ib setup error -2,,0,1,1,1,obd c 202 lustre simple mgc ADDR o2ib setup
train,DELL LC ,3,memory,Intel DDR Memory interconnect arg1 has a non-recoverable issue.,,0,1,1,1,intel ddr interconnect ARG non recoverable issue
train,DELL LC ,2,power,Unable to access the PSU arg1 FRU data.,,0,1,1,1,access psu ARG fru data
train,syslog,3,nic,collectl: Error 'connection by peer' writing to socket,,0,1,1,1,collectl by peer writing socket
train,syslog,3,file system,kernel: LustreError: LOG ID:(mdc_locks.c:[kNUM]:mdc_intent_getattr_async_interpret()) ldlm_cli_enqueue_fini: -5,,0,1,1,1,mdc locks c NUM mdc intent getattr async interpret ldlm cli enqueue fini 5
train,DELL LC ,2,storage,Failed to boot from A.,,0,1,1,1,boot from
train,DELL LC ,2,"voltage, current",An output under voltage fault detected on power supply arg1 .,,0,1,1,1,an output under ARG
train,syslog,3,file system,mmsysmon: [E] Event raised: The node is not able to reach enough quorum nodes[path] to work properly.,,0,1,1,1,event able reach enough quorum nodes PATH work properly
train,DELL LC ,3,power,Unable to turn on the server arg1 because the power requirement request exceeds the power cap value.,,0,1,1,1,turn ARG requirement request exceeds cap value
train,DELL LC ,2,fan,Fan - The ( arg1 ) fan is running faster than expected.,,0,1,1,1,ARG running faster expected
train,DELL LC ,3,"bios, firmware, driver",CEM Storage Management encountered internal error.,,0,1,1,1,cem encountered internal
train,syslog,3,"bios, firmware, driver",nv-fabricmanager: lost socket connection global and local fabric manager instance,,0,1,1,1,fabricmanager lost socket global and local fabric manager instance
test,HPE IML,3,memory,DIMM initialization error,,0,1,1,1,__EMPTY_MASKED__
train,syslog,3,service,systemd: nvidia-persistenced.service: Processes still around after SIGKILL. Ignoring.,,0,1,1,1,processes still around after sigkill ignoring
