text,class,train/test,top_attention_words,masked_text_attention
kernel: XFS (md[NUM]:) last sector read failed,file system,train,['XFS'],kernel: (md[NUM]:) last sector read failed
kernel: NVRM: The NVIDIA GPU [device id]#012NVRM: (PCI ID: [kNUM]:[kNUM]) installed in this system has#012NVRM: fallen off the bus and is not responding to commands.,gpu,train,"['kernel:', 'GPU', 'NVRM:']",The NVIDIA [device id]#012NVRM: (PCI ID: [kNUM]:[kNUM]) installed in this system has#012NVRM: fallen off the bus and is not responding to commands.
systemd: nvidia-fabricmanager.service: State 'stop-sigterm' timed out. Killing.,service,test,['systemd:'],nvidia-fabricmanager.service: State 'stop-sigterm' timed out. Killing.
kernel: mlx_compat: loading out-of-tree module taints kernel.,"bios, firmware, driver",train,['kernel:'],mlx_compat: loading out-of-tree module taints kernel.
Server Critical Fault (Service Information: Fault Type Unknown. Riser Card Assembly. Riser Boards Temp (02h)),board,train,"['Server', 'Temp']",Critical Fault (Service Information: Fault Type Unknown. Riser Card Assembly. Riser Boards (02h))
Unsupported power supply detected,power,train,['power'],Unsupported supply detected
A bus uncorrectable error was detected on a component at slot arg1 .,"bus, io module, pci",train,"['slot', 'bus']",A uncorrectable error was detected on a component at arg1 .
kernel: LustreError: LOG ID:(ldlm_resour[kNUM]:[kNUM]:ldlm_resource_complain()) lsr07-MDT[kNUM]mdc-[ID]: namespace resource [[ADDR]LOG IDx1:[ADDR]].[ADDR] ([ID]) refcount nonzero ([NUM]) after lock cleanup; forcing cleanup.,file system,train,"['LustreError:', 'kernel:']",LOG ID:(ldlm_resour[kNUM]:[kNUM]:ldlm_resource_complain()) lsr07-MDT[kNUM]mdc-[ID]: namespace resource [[ADDR]LOG IDx1:[ADDR]].[ADDR] ([ID]) refcount nonzero ([NUM]) after lock cleanup; forcing cleanup.
NVDIMMs have been removed from Processor%1. All NVDIMMs on Processor %2 have beendisabled,memory,train,"['Processor', 'beendisabled']",NVDIMMs have been removed from Processor%1. All NVDIMMs on %2 have
Mismatched power supply,power,train,['power'],Mismatched supply
"kernel: LustreError: LOG ID:(osc_quota.c:309:osc_quotactl()) ptlrpc_queue_wait failed, rc: -5",file system,train,['LOG'],"kernel: LustreError: ID:(osc_quota.c:309:osc_quotactl()) ptlrpc_queue_wait failed, rc: -5"
kernel: nvidia_peermem: Unknown symbol nvidia_p2p_dma_unmap_pages (err -22),"bios, firmware, driver",train,['kernel:'],nvidia_peermem: Unknown symbol nvidia_p2p_dma_unmap_pages (err -22)
The Chassis Management Controller (CMC) is unable to communicate with the PCIe subsystem.,"bmc, management module",test,"['The', 'is']",Chassis Management Controller (CMC) unable to communicate with PCIe subsystem.
"smartd: Device: [path], Critical Warning ([ADDR]): VolMemBackup",storage,train,['Device:'],"smartd: [path], Critical Warning ([ADDR]): VolMemBackup"
Memory device at location arg1 is overheating.,memory,test,['Memory'],device at location arg1 is overheating.
"NVDIMM error: Processor %1, DIMM %2(SN:%3-%4-%5-%6)",memory,test,['error:'],"NVDIMM Processor %1, DIMM %2(SN:%3-%4-%5-%6)"
mmfs: [E] Close connection [ip] [sth NODE ID] <c0n[interface ID]> (Node failed). Attempting reconnect.,file system,train,"['mmfs:', '[E]']",Close connection [ip] [sth NODE ID] <c0n[interface ID]> (Node failed). Attempting reconnect.
kernel: LustreError: LOG ID:(lmv_o[kNUM]:[kNUM]:lmv_statfs()) lsr05-MDT[kNUM]mdc-[ID]: can't stat MDS #0: rc = -5,file system,train,"['LustreError:', 'kernel:']",LOG ID:(lmv_o[kNUM]:[kNUM]:lmv_statfs()) lsr05-MDT[kNUM]mdc-[ID]: can't stat MDS #0: rc = -5
Unable to complete the operation because of an issue with the I/O panel cable.,board,train,['cable.'],Unable to complete the operation because of an issue with the I/O panel
kernel: device [device ID]ns[eth ID] entered promiscuous mode,"setting, config",train,['kernel:'],device [device ID]ns[eth ID] entered promiscuous mode
kernel: buffer_io_error: [NUM] callbacks suppressed,storage,train,['suppressed'],kernel: buffer_io_error: [NUM] callbacks
"NVDIMM Error: Processor %1, DIMM %2.NVDIMM set for interleaving enabled but systemconfigured for interleaving disabled. NVDIMMhas been disabled.",memory,test,"['Error:', 'Processor']","NVDIMM %1, DIMM %2.NVDIMM set for interleaving enabled but systemconfigured for interleaving disabled. NVDIMMhas been disabled."
"mmfs: [E] sdrServ: Communication [path] 132 (<none>)[path], [err 11] Resource temporarily unavailable",file system,train,"['mmfs:', '[E]']","sdrServ: Communication [path] 132 (<none>)[path], [err 11] Resource temporarily unavailable"
CPU arg1 is disabled.,cpu,train,['CPU'],arg1 is disabled.
Unable to allocate memory.,memory,test,['memory.'],Unable to allocate
root: nv_peer_mem: Error: the following required module is not loaded: ib_core,"bios, firmware, driver",train,"['Error:', 'module']",root: nv_peer_mem: the following required is not loaded: ib_core
"kernel: nvidia-nvswitch1: SXid (PCI:[device id]): 26004, Timed out while waiting for SOE command completion",switch,train,"['kernel:', 'nvidia-nvswitch1:']","SXid (PCI:[device id]): 26004, Timed out while waiting for SOE command completion"
The arg1 sensor has failed with a value arg2 Volts.,"voltage, current",train,['Volts.'],The arg1 sensor has failed with a value arg2
systemd: Failed to start General Parallel File System CCR Monitor.,service,train,['systemd:'],Failed to start General Parallel File System CCR Monitor.
kernel: pcieport [NUM]:c5:[kNUM]: BAR [NUM]: failed to assign [io size 0x[kNUM]],"bus, io module, pci",train,"['pcieport', 'kernel:']",[NUM]:c5:[kNUM]: BAR [NUM]: failed to assign [io size 0x[kNUM]]
kernel: mlx5_core [device id]: print_health_info:468:([PID]): synd [ADDR]: firmware internal error,"bios, firmware, driver",train,['kernel:'],mlx5_core [device id]: print_health_info:468:([PID]): synd [ADDR]: firmware internal error
Fan arg1 is absent.,fan,train,['Fan'],arg1 is absent.
Server_Administrator: [NUM] - Instrumentation Voltage sensor detected a failure value #012Sensor location: System Board PDB_VRD_PG_ALL #012Chassis location: Main System Chassis #012Previous state was: Unknown #012Discrete voltage state: Bad,"voltage, current",train,"['voltage', 'Voltage', 'sensor']",Server_Administrator: [NUM] - Instrumentation detected a failure value #012Sensor location: System Board PDB_VRD_PG_ALL #012Chassis location: Main System Chassis #012Previous state was: Unknown #012Discrete state: Bad
Quick Path Interconnect (QPI) initialization error detected on processor arg1 .,"bus, io module, pci",train,"['processor', 'Path']",Quick Interconnect (QPI) initialization error detected on arg1 .
kernel: pci [pci id] BAR [NUM]: no space for [mem size 0x[kNUM]],os,train,"['kernel:', 'pci']",[pci id] BAR [NUM]: no space for [mem size 0x[kNUM]]
lldpad: init_ports: Error adding device ib[eth ID],nic,train,['lldpad:'],init_ports: Error adding device ib[eth ID]
kernel: BUG: Bad page state in process python pfn:[kNUM],os,test,['kernel:'],BUG: Bad page state in process python pfn:[kNUM]
An error occurred during DDR memory channel initialization on memory slots: arg1 .,memory,train,['DDR'],An error occurred during memory channel initialization on memory slots: arg1 .
A degraded power event has been detected andthe server should be replaced.,power,train,"['power', 'replaced.']",A degraded event has been detected andthe server should be
kernel: Memory failure: buffer overflow when queuing memory failure at [ADDR]x[kNUM],memory,train,"['Memory', 'overflow']",kernel: failure: buffer when queuing failure at [ADDR]x[kNUM]
A configuration error was detected in the device located here: arg1 . Additional Details: arg2 .,"setting, config",test,"['Details:', 'configuration']",A error was detected in the device located here: arg1 . Additional arg2 .
iDRAC is not responding.,"bmc, management module",train,['is'],iDRAC not responding.
One or more memory errors have occurred during the Double Data Rate (DDR) memory channel initialization on the memory slot arg1 .,memory,train,"['slot', 'memory']",One or more errors have occurred during the Double Data Rate (DDR) channel initialization on the arg1 .
mmfs: [E] This node is being expelled from the cluster.,file system,train,['mmfs:'],[E] This node is being expelled from the cluster.
Unable to monitor or manage SAS components because the initialization sequence of the devices did not complete.,storage,train,"['SAS', 'initialization']",Unable to monitor or manage components because the sequence of the devices did not complete.
The system board arg1 temperature is greater than the upper critical threshold.,board,train,['temperature'],The system board arg1 is greater than the upper critical threshold.
mmfs: [E] Remount failed for device gpfs.sr06: Device or resource busy,file system,test,"['mmfs:', 'resource']",[E] Remount failed for device gpfs.sr06: Device or busy
kernel: mlx5_core [device id]: mlx5_pcie_event:291:([PID]): Detected insufficient power [path] PCIe slot ([NUM]W).,power,train,"['kernel:', 'mlx5_core']",[device id]: mlx5_pcie_event:291:([PID]): Detected insufficient power [path] PCIe slot ([NUM]W).
The control panel temperature is less than the lower critical threshold.,board,train,"['temperature', 'control']",The panel is less than the lower critical threshold.
"kernel: NVRM: Xid (PCI:[device id]): 31, pid=[PIDNUM], Ch [kNUM], intr [kNUM] MMU Fault: ENGINE GRAPHICS GPCCLIENT_T1_10 faulted @ 0x[kNUM]_[kNUM] Fault is of type FAULT_WORK_CREATION  access_TYPE_VIRT_READ",gpu,train,"['kernel:', 'NVRM:', 'id]):']","Xid (PCI:[device 31, pid=[PIDNUM], Ch [kNUM], intr [kNUM] MMU Fault: ENGINE GRAPHICS GPCCLIENT_T1_10 faulted @ 0x[kNUM]_[kNUM] Fault is of type FAULT_WORK_CREATION access_TYPE_VIRT_READ"
CPU arg1 - Machine check exception detected.,cpu,train,['CPU'],arg1 - Machine check exception detected.
kernel: LustreError: [kNUM]: lscr21-MDT[kNUM]mdc-[ID]: This client was evicted by lscr21-MDT[kNUM]; in progress operations using this service will fail.,file system,train,"['LustreError:', 'kernel:']",[kNUM]: lscr21-MDT[kNUM]mdc-[ID]: This client was evicted by lscr21-MDT[kNUM]; in progress operations using this service will fail.
Power supply arg1 is offline.,power,train,['Power'],supply arg1 is offline.
kernel: mlx5_core [device id]: mlx5_pcie_event:301:([PID]): Detected insufficient power [path] PCIe slot ([NUM]W).,power,train,"['kernel:', 'mlx5_core']",[device id]: mlx5_pcie_event:301:([PID]): Detected insufficient power [path] PCIe slot ([NUM]W).
PCIe Slot %1 failed to train or no device detectedon a bifurcated slot.,"bus, io module, pci",train,"['Slot', 'slot.']",PCIe %1 failed to train or no device detectedon a bifurcated
"kernel: NVRM: Xid (PCI:[device id]): 74, pid=[PIDNUM], NVLink: fatal error detected [path] 0([NUM]x0, [ADDR], [ADDR], 0x[kNUM], [ADDR], [ADDR], [ADDR])",gpu,train,"['kernel:', 'NVRM:']","Xid (PCI:[device id]): 74, pid=[PIDNUM], NVLink: fatal error detected [path] 0([NUM]x0, [ADDR], [ADDR], 0x[kNUM], [ADDR], [ADDR], [ADDR])"
The arg1 network link is down.,nic,train,['down.'],The arg1 network link is
The Power Supply Units (PSUs) in the system do not match.,power,test,"['Power', 'match.']",The Supply Units (PSUs) in the system do not
The Non-Volatile Dual In-Line Memory Module (NVDIMM) in the memory slot arg1 has encountered a thermal shutdown event during the previous boot.,memory,train,"['boot.', 'memory']",The Non-Volatile Dual In-Line Module (NVDIMM) in the slot arg1 has encountered a thermal shutdown event during the previous
"mmsysmon: [E] Event raised: GPFS CCR client initialization Item=CCR_CLIENT_INIT,ErrMsg='Security initializati[path]',Failed='Security'",file system,test,['Event'],"mmsysmon: [E] raised: GPFS CCR client initialization Item=CCR_CLIENT_INIT,ErrMsg='Security initializati[path]',Failed='Security'"
"OS - Suspect corrupt MBR, verify MBR with Anti-Virus Application.",os,train,['OS'],#NAME?
Quick Path Interconnect (QPI) links are operating in slow speed mode.,"bus, io module, pci",train,"['links', 'Path']",Quick Interconnect (QPI) are operating in slow speed mode.
mmfs: [E] Close connection [ip] [agpu NODE ID] <c0n[interface ID]>:[1] (No route to host). Attempting reconnect.,file system,train,"['mmfs:', '[E]']",Close connection [ip] [agpu NODE ID] <c0n[interface ID]>:[1] (No route to host). Attempting reconnect.
Power fault detected,power,train,['Power'],fault detected
Chassis Management Controller is unable to turn on server arg1 due to insufficient power for the arg2 .,power,train,"['power', 'Controller']",Chassis Management is unable to turn on server arg1 due to insufficient for the arg2 .
Slot %1 Smart Array: Drive media errors couldnot be recovered by RAID protection,storage,train,"['RAID', 'Slot']",%1 Smart Array: Drive media errors couldnot be recovered by protection
"The arg1 sensor has failed, and the last recorded value by the sensor was arg2 A.",board,test,['sensor'],"The arg1 has failed, and the last recorded value by the was arg2 A."
Processor module arg1 voltage is less than the lower critical threshold.,"voltage, current",train,"['voltage', 'threshold.']",Processor module arg1 is less than the lower critical
Chassis power level current is outside of range.,"voltage, current",train,['current'],Chassis power level is outside of range.
Lifecycle Controller (LC) firmware was not accessible and is therefore in Recovery mode.,"bios, firmware, driver",train,"['firmware', 'Recovery']",Lifecycle Controller (LC) was not accessible and is therefore in mode.
Memory device at location arg1 is not installed correctly.,memory,test,['Memory'],device at location arg1 is not installed correctly.
Battery - Charge cycles exceeded maximum limit. :OR: Charger - Charge cycles exceeded maximum limit.,battery,train,['Battery'],#NAME?
A failure is detected on IO module arg1 .,"bus, io module, pci",train,['IO'],A failure is detected on module arg1 .
pmlogger_daily: Failed to connect to bus: Resource temporarily unavailable,"bus, io module, pci",train,['bus:'],pmlogger_daily: Failed to connect to Resource temporarily unavailable
kernel: acpi PNP[kNUM]:00: _OSC: platform does not support [SHPCHotplug AER DPC],"bios, firmware, driver",train,"['acpi', 'kernel:']",PNP[kNUM]:00: _OSC: platform does not support [SHPCHotplug AER DPC]
kernel: LNetError: LOG ID:(lib-move.c:[kNUM]:lnet_handle_find_routed_path()) no route to [ip]@o2ib from <?>,file system,test,['LNetError:'],kernel: LOG ID:(lib-move.c:[kNUM]:lnet_handle_find_routed_path()) no route to [ip]@o2ib from <?>
kernel: LustreError: LOG ID:(llite_lib.c:[kNUM]:ll_prep_inode()) new_inode -fatal: rc -4,file system,train,['LOG'],kernel: LustreError: ID:(llite_lib.c:[kNUM]:ll_prep_inode()) new_inode -fatal: rc -4
One or more memory errors have occurred on memory slot: arg1 .,memory,train,"['memory', 'errors']",One or more have occurred on slot: arg1 .
Power supply %1 has exceeded the current limit.Power supply output will be disabled.,power,train,"['disabled.', 'Power']",supply %1 has exceeded the current limit.Power supply output will be
mmsysmon: [E] Event raised: NIC bond[eth ID] is down.,nic,train,['down.'],mmsysmon: [E] Event raised: NIC bond[eth ID] is
A CMOS checksum error has occurred. CMOS is reinitialized.,board,train,['reinitialized.'],A CMOS checksum error has occurred. CMOS is
kernel: pci [pci id] BAR [NUM]: no space for [io size 0x[kNUM]],os,train,"['kernel:', 'pci']",[pci id] BAR [NUM]: no space for [io size 0x[kNUM]]
mmfs: [E] Lost membership in cluster sr06.[sth NODE ID]. Unmounting file systems.,file system,train,"['mmfs:', '[E]']",Lost membership in cluster sr06.[sth NODE ID]. Unmounting file systems.
Boot from flash error (%1),storage,train,['Boot'],from flash error (%1)
Intel QPI interconnect arg1 has a non-recoverable issue.,"bus, io module, pci",train,['Intel'],QPI interconnect arg1 has a non-recoverable issue.
Invalid firmware image detected on NVDIMM.,"bios, firmware, driver",train,['firmware'],Invalid image detected on NVDIMM.
gdrcopy: Module gdrdrv does not exist,service,train,['gdrcopy:'],Module gdrdrv does not exist
pmlogger: Failed to get unit file state for pmlogger.service: connection out,service,train,"['pmlogger:', 'out']",Failed to get unit file state for pmlogger.service: connection
The Chassis was turned off because more than two internal fans stopped functioning.,fan,test,"['fans', 'functioning.']",The Chassis was turned off because more than two internal stopped
The disk drive bay arg1 voltage is outside of range.,"voltage, current",train,['voltage'],The disk drive bay arg1 is outside of range.
"mmfs: [E] sdrServ: Communication [path] 73 ([ip]) @handleRpcReq[path], [err 144] connection down",file system,train,"['mmfs:', '[E]']","sdrServ: Communication [path] 73 ([ip]) @handleRpcReq[path], [err 144] connection down"
mmsysmon: [E] Event raised: Physical link of the NIC bond[eth ID] is down,nic,train,"['NIC', 'mmsysmon:']",[E] Event raised: Physical link of the bond[eth ID] is down
NVDIMM controller error,memory,test,['error'],NVDIMM controller
systemd-fsck: [ADDR]: Dirty bit is set. Fs was not properly unmounted and some data may be corrupt.,file system,train,"['[ADDR]:', 'systemd-fsck:']",Dirty bit is set. Fs was not properly unmounted and some data may be corrupt.
"mmfs: Error=MMFS_PHOENIX, ID=[ID], Tag=[ID]: reason 2 Failure reason mmchdisk for any disk failures and re-mount.",file system,test,"['mmfs:', 'disk']","Error=MMFS_PHOENIX, ID=[ID], Tag=[ID]: reason 2 Failure reason mmchdisk for any failures and re-mount."
Management hardware component is not detected in the Management Module in slot arg1 .,"bmc, management module",train,"['Management', 'Module']",hardware component is not detected in the in slot arg1 .
systemd: nvidia-persistenced.service: Failed with result 'timeout'.,service,train,['systemd:'],nvidia-persistenced.service: Failed with result 'timeout'.
Unable to turn on I/O Module arg1 due to insufficient chassis power.,power,train,"['power.', 'I/O']",Unable to turn on Module arg1 due to insufficient chassis
kernel: Memory failure: 0x[kNUM]: non anonymous thp,memory,train,['Memory'],kernel: failure: 0x[kNUM]: non anonymous thp
"kernel: LustreError: LOG ID:(mgc_request.c:[kNUM]:mgc_process_log()) MGC[ip]@o2ib[eth ID]: recover log lscr[kNUM]liir failed, not fatal: rc = -5",file system,train,"['LOG', 'LustreError:']","kernel: ID:(mgc_request.c:[kNUM]:mgc_process_log()) MGC[ip]@o2ib[eth ID]: recover lscr[kNUM]liir failed, not fatal: rc = -5"
gdm: GLib: g_hash_table_foreach: assertion 'version == hash_table->version' failed,os,test,['GLib:'],gdm: g_hash_table_foreach: assertion 'version == hash_table->version' failed
kernel: NVRM: failed to copy out ioctl data,"bios, firmware, driver",train,['kernel:'],NVRM: failed to copy out ioctl data
Disk drive bay temperature is outside of range.,storage,train,['drive'],Disk bay temperature is outside of range.
The mezzanine card arg1 arg2 voltage is outside of range.,"voltage, current",test,['voltage'],The mezzanine card arg1 arg2 is outside of range.
The LOM riser FRU for slot arg1 FRU ID arg2 is not functioning.,"bus, io module, pci",train,['ID'],The LOM riser FRU for slot arg1 FRU arg2 is not functioning.
kernel: nvidia-modeset: ERROR: Failed to find GPU ID,"bios, firmware, driver",train,['kernel:'],nvidia-modeset: ERROR: Failed to find GPU ID
No bootable media found.,storage,test,['media'],No bootable found.
The IO Module in slot arg1 is not supported.,"bus, io module, pci",train,['slot'],The IO Module in arg1 is not supported.
iDRAC not responding.,"bmc, management module",train,['not'],iDRAC responding.
arg1 SAS SMP communications error arg2,storage,train,['communications'],arg1 SAS SMP error arg2
Server Critical Fault (Service Information: Runtime Fault. Processor(AMD). Processor 2 (02h)),cpu,train,"['Processor', 'Fault']",Server Critical (Service Information: Runtime Fault. Processor(AMD). 2 (02h))
The system board arg1 voltage is less than the lower critical threshold.,"voltage, current",train,"['voltage', 'threshold.']",The system board arg1 is less than the lower critical
"NVRM: Xid (PCI:0000:84:00): 48, pid=7928, An uncorrectable double bit error (DBE) has been detected on GPU in the L2 cache at cache 7, slice 2.",gpu,train,"['NVRM:', 'Xid', 'GPU']","(PCI:0000:84:00): 48, pid=7928, An uncorrectable double bit error (DBE) has been detected on in the L2 cache at cache 7, slice 2."
The OS watchdog timer expired.,os,test,['OS'],The watchdog timer expired.
The Mezz card 4 FRU for the server arg1 is not functioning.,"bus, io module, pci",train,"['server', 'card']",The Mezz 4 FRU for the arg1 is not functioning.
Hardware incompatibility detected with mezzanine card arg1 .,"bus, io module, pci",train,['card'],Hardware incompatibility detected with mezzanine arg1 .
The arg1 cable or interconnect is not connected or is improperly connected.,board,train,['cable'],The arg1 or interconnect is not connected or is improperly connected.
Unable to power on server arg1 because of iDRAC communication issue.,"bmc, management module",train,"['power', 'server']",Unable to on arg1 because of iDRAC communication issue.
The IO Module in slot arg1 did not boot within the expected time.,"bus, io module, pci",train,"['slot', 'IO']",The Module in arg1 did not boot within the expected time.
Server failed to power on because no response from Management Module for power request.,"bmc, management module",test,"['Server', 'Module']",failed to power on because no response from Management for power request.
"mmfs: [X] File System gpfs.sr06 unmounted by the system with return code 16, reason 1500108505, at line 1132 in [path]",file system,train,"['mmfs:', '[X]']","File System gpfs.sr06 unmounted by the system with return code 16, reason 1500108505, at line 1132 in [path]"
"NVRM: Xid (PCI:0000:84:00): 43, pid=9581, Ch 00000008",gpu,train,['NVRM:'],"Xid (PCI:0000:84:00): 43, pid=9581, Ch 00000008"
"UPI Initialization Error: A fatal UPI initializationerror has been detected. %1 (Major Code: %2,Minor Code: %3)",cpu,train,"['Error:', 'initializationerror']","UPI Initialization A fatal UPI has been detected. %1 (Major Code: %2,Minor Code: %3)"
mmfs: [E] VERBS RDMA closed connection [ip] ([vngpuc NODE ID]) [path] port [NUM] fabnum [NUM] index [IDX]5 [cookie ID] error 233,file system,train,"['mmfs:', 'RDMA']",[E] VERBS closed connection [ip] ([vngpuc NODE ID]) [path] port [NUM] fabnum [NUM] index [IDX]5 [cookie ID] error 233
"External chassis fan failure (Chassis %1, Fan%2, Location %3)",fan,train,['fan'],"External chassis failure (Chassis %1, Fan%2, Location %3)"
kernel: pci [pci id] BAR [NUM]: no space for [mem size 0x[kNUM] pref],os,train,"['kernel:', 'pci']",[pci id] BAR [NUM]: no space for [mem size 0x[kNUM] pref]
CPU arg1 arg2 voltage is less than the lower critical threshold.,"voltage, current",test,"['voltage', 'threshold.']",CPU arg1 arg2 is less than the lower critical
kernel: scsi 9:0:0:0: rejecting I/O to [kNUM] device,storage,train,['kernel:'],scsi 9:0:0:0: rejecting I/O to [kNUM] device
kernel: nvidia: loading out-of-tree module taints kernel.,"bios, firmware, driver",test,['kernel:'],nvidia: loading out-of-tree module taints kernel.
"NVRM: Xid (PCI:0000:84:00): 48, pid=1323, An uncorrectable double bit error (DBE) has been detected on GPU in the framebuffer at partition 4, subpartition 1.",gpu,test,"['NVRM:', 'Xid', '48,']","(PCI:0000:84:00): pid=1323, An uncorrectable double bit error (DBE) has been detected on GPU in the framebuffer at partition 4, subpartition 1."
"The NVMe drive is not detected on the PCI tag arg1 , NameSpace ID arg2 .",storage,train,"['drive', 'ID']","The NVMe is not detected on the PCI tag arg1 , NameSpace arg2 ."
The Mezz card 1 FRU for the server arg1 is not functioning.,"bus, io module, pci",test,"['server', 'card']",The Mezz 1 FRU for the arg1 is not functioning.
"%1 Fan failure (Fan %2, Location %3, %4)",fan,train,['Fan'],"%1 failure (Fan %2, Location %3, %4)"
"mmfs: Error=MMFS_SYSTEM_UNMOUNT, ID=[ID], Tag=[ID]: Unrecoverable file system operation Status code 218. Volume gpfs.sr06",file system,test,"['mmfs:', 'gpfs.sr06']","Error=MMFS_SYSTEM_UNMOUNT, ID=[ID], Tag=[ID]: Unrecoverable file system operation Status code 218. Volume"
The Chassis Management Controller (CMC) is unable to turn on the storage sled controller installed on server in slot arg1 because the server does not have a Mezzanine card.,"bus, io module, pci",train,"['storage', 'slot']",The Chassis Management Controller (CMC) is unable to turn on the sled controller installed on server in arg1 because the server does not have a Mezzanine card.
kernel: NVRM: No NVIDIA GPU found.,gpu,train,['kernel:'],NVRM: No NVIDIA GPU found.
unbound-anchor: [1638630027] libunbound[421235:0] error: could not fflush([path]): no space left on device,file system,train,"['error:', 'unbound-anchor:']",[1638630027] libunbound[421235:0] could not fflush([path]): no space left on device
"systemd: LSF.mount: Mount process exited, code=killed status=15",service,train,['systemd:'],"LSF.mount: Mount process exited, code=killed status=15"
"%1 power request denied: %2 (EnclosureAddress %3, Slot %4)",power,test,['power'],"%1 request denied: %2 (EnclosureAddress %3, Slot %4)"
I/O Module arg1 temperature exceeded operating range.,"bus, io module, pci",train,['Module'],I/O arg1 temperature exceeded operating range.
Battery - The battery is not installed.,battery,train,['Battery'],#NAME?
gvfsd: A connection to the bus can't be made,os,train,['gvfsd:'],A connection to the bus can't be made
Server_Administrator: [NUM] - Storage Service Controller event log: Battery is discharging: Controller 0 (PERC H745 Adapter),battery,train,"['Battery', 'Storage']",Server_Administrator: [NUM] - Service Controller event log: is discharging: Controller 0 (PERC H745 Adapter)
A BIOS corruption is detected. A BIOS Recovery process is automatically started. This process would take a few minutes.,"bios, firmware, driver",train,"['corruption', 'BIOS']",A is detected. A Recovery process is automatically started. This process would take a few minutes.
"mmfs: Error=MMFS_PHOENIX, ID=[ID], Tag=[ID]:",file system,train,['mmfs:'],"Error=MMFS_PHOENIX, ID=[ID], Tag=[ID]:"
Correctable memory error rate exceeded for arg1 .,memory,train,['memory'],Correctable error rate exceeded for arg1 .
Programmable interval timer error.,board,train,['interval'],Programmable timer error.
A bad disk block on arg1 cannot be reassigned during a write operation.,storage,test,"['disk', 'operation.']",A bad block on arg1 cannot be reassigned during a write
An over voltage fault detected on power supply arg1 .,"voltage, current",train,['voltage'],An over fault detected on power supply arg1 .
abrt-dump-journal-oops: abrt-dump-journal-oops: Found oopses: 3,os,train,['Found'],abrt-dump-journal-oops: abrt-dump-journal-oops: oopses: 3
"Uncorrectable PCI Express Error Detected. %1%2 (Segment 0x%2, Bus 0x%3, Device 0x%4,Function 0x%5)","bus, io module, pci",train,"['PCI', 'Bus']","Uncorrectable Express Error Detected. %1%2 (Segment 0x%2, 0x%3, Device 0x%4,Function 0x%5)"
%1 Smart Array - Controller failure (Status: %2),storage,train,['failure'],%1 Smart Array - Controller (Status: %2)
The Chassis Management Controller/Management Module (CMC/MM) cannot communicate with the arg1 control panel because of internal issues.,"bmc, management module",train,['cannot'],The Chassis Management Controller/Management Module (CMC/MM) communicate with the arg1 control panel because of internal issues.
"abrtd: Too many clients, refusing connections to '[path]'",service,train,['abrtd:'],"Too many clients, refusing connections to '[path]'"
"Memory configuration error: No memory isavailable. If DIMMs are installed, verify that theDIMMs are installed properly. System Halted!","setting, config",train,['configuration'],"Memory error: No memory isavailable. If DIMMs are installed, verify that theDIMMs are installed properly. System Halted!"
mmfs: [E] Disk failure. Volume gpfs.sr06. rc = 5. Physical volume DATANSD31.,storage,train,"['Disk', 'mmfs:']",[E] failure. Volume gpfs.sr06. rc = 5. Physical volume DATANSD31.
The arg1 voltage redundancy is lost.,"voltage, current",test,['voltage'],The arg1 redundancy is lost.
kernel: LustreError: LOG ID:(ldlm_lib.c:540:client_obd_setup()) can't add initial connection,file system,test,['kernel:'],LustreError: LOG ID:(ldlm_lib.c:540:client_obd_setup()) can't add initial connection
Drive arg1 is in the critical array.,storage,train,['Drive'],arg1 is in the critical array.
A firmware or software incompatibility is detected between arg1 arg2 and arg3 arg4 .,"bios, firmware, driver",train,['firmware'],A or software incompatibility is detected between arg1 arg2 and arg3 arg4 .
The storage battery for disk drive bay arg1 is absent.,battery,train,['battery'],The storage for disk drive bay arg1 is absent.
Unable to detect network connection of arg1 in slot arg2 .,nic,test,['Unable'],to detect network connection of arg1 in slot arg2 .
dbus-daemon: Cannot setup inotify for '[path]'; error 'No space left on device',file system,train,"['dbus-daemon:', 'Cannot']",setup inotify for '[path]'; error 'No space left on device'
A PCI system error was detected on a component at slot arg1 .,"bus, io module, pci",test,"['slot', 'PCI']",A system error was detected on a component at arg1 .
"kernel: lockd: server [ip] not responding, still trying",service,train,['lockd:'],"kernel: server [ip] not responding, still trying"
kernel: LustreError: LOG ID:(llite_lib.c:[kNUM]:ll_md_setattr()) md_setattr fails: rc = -5,file system,train,['LOG'],kernel: LustreError: ID:(llite_lib.c:[kNUM]:ll_md_setattr()) md_setattr fails: rc = -5
A bus uncorrectable error was detected on a component at bus arg1 device arg2 function arg3 .,"bus, io module, pci",train,"['bus', 'component']",A uncorrectable error was detected on a at arg1 device arg2 function arg3 .
The Intel Management Engine is unresponsive and the server thermal failsafe state is activated.,"bmc, management module",train,"['Engine', 'Management']",The Intel is unresponsive and the server thermal failsafe state is activated.
kdumpctl: libkmod: kmod_module_get_holders: could not open '[path]': No such file or directory,os,train,"['kdumpctl:', 'could']",libkmod: kmod_module_get_holders: not open '[path]': No such file or directory
Memory device at location arg1 failed to transition to in test.,memory,train,['Memory'],device at location arg1 failed to transition to in test.
